Part,Value,PartNO,Device,Package,Description
+5V,,,LEDCHIPLED_0805,CHIPLED_0805,LED
+12V,,,LEDCHIPLED_0805,CHIPLED_0805,LED
C1,.1uF,,C-USC0603K,C0603K,"CAPACITOR, American symbol"
C2,.1uF,,C-USC0603K,C0603K,"CAPACITOR, American symbol"
C3,.1uF,,C-USC0603K,C0603K,"CAPACITOR, American symbol"
C4,.1uF,,C-USC0603K,C0603K,"CAPACITOR, American symbol"
C6,27pF,,C-USC0603K,C0603K,"CAPACITOR, American symbol"
C7,27pF,,C-USC0603K,C0603K,"CAPACITOR, American symbol"
C8,2.2uF,,C-USC0805K,C0805K,"CAPACITOR, American symbol"
C9,2.2uF,,C-USC0805K,C0805K,"CAPACITOR, American symbol"
C10,10uF,,CPOL-USCT3528,CT3528,"POLARIZED CAPACITOR, American symbol"
C12,.1uF,,C-USC0603K,C0603K,"CAPACITOR, American symbol"
C13,22uF,,C-USC0805K,C0805K,"CAPACITOR, American symbol"
C29,220uF 6.3V B45197A1227K409,,CPOL-USD/7343-31W,D/7343-31W,"POLARIZED CAPACITOR, American symbol"
C37,15uF 35V T491D156K035AT,,CPOL-USD/7343-31W,D/7343-31W,"POLARIZED CAPACITOR, American symbol"
CN1,,,JST_2PIN-THM-RA,JST-PH-2-THM-RA,JST 2-Pin Connectors of various flavors
D7,B260,,DIODE_SMA,DIODE_SMA,
IC1,GHI_STM32F40X,,GHI_STM32F40X,GHI_LQFP64,
IC2,LM1117MP-3.3,,LM1117,SOT223,
IC9,MIC4680-ADJ,,MIC4680,SO8,
L4,68uH,,UP2BXXX,UP2BXXX,
LCD_OUT,SHF105,,SHF105,GAD_PAC_SMD,
LDR,,,M02PTH,1X02,Header 2
M_SENS,SI2312BDS,,SI2312BDS,TO-236,
N_M_HEAT,SI2312BDS,,SI2312BDS,TO-236,
N_M_LCD,SI2312BDS,,SI2312BDS,TO-236,
O1,12Mhz,,CRYTALSM49,SM49@1,CRYSTAL
R1,10K,,R-US_R0603,R0603,"RESISTOR, American symbol"
R2,10K,,R-US_R0603,R0603,"RESISTOR, American symbol"
R3,10K,,R-US_R0603,R0603,"RESISTOR, American symbol"
R4,22,,R-US_R0603,R0603,"RESISTOR, American symbol"
R5,22,,R-US_R0603,R0603,"RESISTOR, American symbol"
R6,10K,,R-US_R0603,R0603,"RESISTOR, American symbol"
R7,330,,R-US_R0603,R0603,"RESISTOR, American symbol"
R8,330,,R-US_R0603,R0603,"RESISTOR, American symbol"
R9,330,,R-US_R0603,R0603,"RESISTOR, American symbol"
R10,100K,,R-US_R0603,R0603,"RESISTOR, American symbol"
R11,100K,,R-US_R0603,R0603,"RESISTOR, American symbol"
R12,100K,,R-US_R0603,R0603,"RESISTOR, American symbol"
R13,10K,,R-US_R0603,R0603,"RESISTOR, American symbol"
RST,,,M02PTH,1X02,Header 2
SIM900-EXT,,,M081X08,1X08,Header 8
U$2,RJ45-8PTH,,RJ45-8PTH,RJ45-8,RJ45 Jack
U3,MICROSD_MICROSD,,MICROSD_MICROSD,MICROSD_MICROSD,
VCC,,,LEDCHIPLED_0805,CHIPLED_0805,LED
X4,DX2R005HN2E700,,USB-MB-S,USB-MB-S,USB Connectors
